title                                             ,artist                   ,track ,year  ,band           ,discs ,sourceurl                                   ,disc ,album                         ,originalartist   ,comment                                                                      ,tracks ,originallyricist ,discsubtitle                                    ,composer                      ,lyricist                     ,genres
Hush Now Lullaby                                  ,Fluttershy               ,    11,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Chris Savino                 ,Soundtrack
I'm at the Grand Galloping Gala                   ,Pinkie Pie               ,    17,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,Traditional      ,                                                                             ,     20,                 ,Season 1                                        ,Traditional                   ,Amy Keating Rogers           ,Soundtrack
Laughter Song                                     ,Pinkie Pie               ,    04,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
My Little Pony (End Credits)                      ,Twilight Sparkle         ,    13,  2010,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,Ford Klinder     ,                                                                             ,     13,Barry Harman     ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
My Little Pony Theme Song (Extended)              ,Twilight Sparkle         ,    02,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,Ford Klinder     ,1m version                                                                   ,     20,Barry Harman     ,Season 1                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
My Little Pony Theme Song (Full Extended)         ,Twilight Sparkle         ,    03,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,Ford Klinder     ,2m version                                                                   ,     20,Barry Harman     ,Season 1                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
My Little Pony Theme Song                         ,Twilight Sparkle         ,    01,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,Ford Klinder     ,Intro from Season 1                                                          ,     20,Barry Harman     ,Season 1                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
Pinkie Pie's Singing Telegram                     ,Pinkie Pie               ,    15,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
Pinkie's Gala Fantasy Song                        ,Pinkie Pie               ,    05,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
Pony Pokey (Album Version)                        ,Pinkie Pie               ,    19,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Pony Pokey                                        ,Pinkie Pie               ,    18,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
So Many Wonders                                   ,Fluttershy               ,    14,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,M. A. Larson                 ,Soundtrack
Winter Wrap Up                                    ,Twilight Sparkle         ,    07,  2010,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Cindy Morrow                 ,Soundtrack
"You Got to Share, You Got to Care"               ,Pinkie Pie               ,    13,  2011,My Little Pony ,     9,                                            ,    1,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 1                                        ,Daniel Ingram                 ,Dave Polsky                  ,Soundtrack
B.B.B.F.F. (Reprise)                              ,Twilight Sparkle         ,    15,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
B.B.B.F.F.                                        ,Twilight Sparkle         ,    14,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
Becoming Popular                                  ,Rarity                   ,    03,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthyDaniel Ingram ,Soundtrack
Cranky Doodle Donkey Song (Reprise)               ,Pinkie Pie               ,    12,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Traditional                   ,Daniel Ingram                ,Soundtrack
Cranky Doodle Donkey Song                         ,Pinkie Pie               ,    11,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Traditional                   ,Daniel Ingram                ,Soundtrack
Happy Monthiversary                               ,Pinkie Pie               ,    04,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Charlotte Fullerton          ,Soundtrack
Love Is In Bloom (Demo)                           ,Twilight Sparkle         ,    19,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
Love Is In Bloom                                  ,Twilight Sparkle         ,    18,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
Love Is True (Demo)                               ,Twilight Sparkle         ,    20,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
May the Best Pet Win!                             ,Fluttershy               ,    02,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Charlotte Fullerton          ,Soundtrack
My Little Pony Theme Song (Season 2)              ,Twilight Sparkle         ,    01,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,Ford Klinder     ,Intro from Season 2                                                          ,     20,Barry Harman     ,Season 2                                        ,Daniel Ingram                 ,Lauren Faust                 ,Soundtrack
Piggy Dance                                       ,Pinkie Pie               ,    05,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Smile Song                                        ,Pinkie Pie               ,    10,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
The Flim Flam Cider Song                          ,Flim Flam Brothers       ,    08,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
The Heart Carol (Extended)                        ,Phoenix Chamber Choir    ,    07,  2015,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
The Heart Carol                                   ,Phoenix Chamber Choir    ,    06,  2011,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Merriwether Williams         ,Soundtrack
The Perfect Stallion                              ,Cutie Mark Crusaders     ,    09,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
This Day Aria (Reprise)                           ,Queen Chrysalis          ,    17,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
This Day Aria                                     ,Queen Chrysalis          ,    16,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Welcome Song                                      ,Pinkie Pie               ,    13,  2012,My Little Pony ,     9,                                            ,    2,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 2                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
"A True, True Friend"                             ,Twilight Sparkle         ,    09,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,Fixed rarity by ego-lay_atman-bay                                            ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Babs Seed                                         ,Cutie Mark Crusaders     ,    04,  2012,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Cindy Morrow                 ,Soundtrack
Ballad of the Crystal Ponies                      ,Twilight Sparkle         ,    02,  2012,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
"Behold, Princess Twilight Sparkle"               ,Princess Celestia        ,    11,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Celestia's Ballad                                 ,Princess Celestia        ,    10,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Find a Way                                        ,Twilight Sparkle         ,    08,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Life in Equestria                                 ,Twilight Sparkle         ,    12,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,M. A. Larson                 ,Soundtrack
Morning in Ponyville                              ,Twilight Sparkle         ,    06,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram:Steffan Andrews ,M. A. Larson                 ,Soundtrack
Raise This Barn                                   ,Applejack                ,    05,  2012,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Cindy Morrow                 ,Soundtrack
The Failure Song                                  ,Twilight Sparkle         ,    01,  2012,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
The Success Song                                  ,Twilight Sparkle         ,    03,  2012,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,Meghan McCarthy              ,Soundtrack
What My Cutie Mark Is Telling Me                  ,Rainbow Dash             ,    07,  2013,My Little Pony ,     9,                                            ,    3,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 3                                        ,Daniel Ingram                 ,M. A. Larson                 ,Soundtrack
Apples to the Core                                ,Applejack                ,    05,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Natasha Levinger             ,Soundtrack
Bats                                              ,Applejack                ,    02,  2013,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Merriwether Williams         ,Soundtrack
Cheese Confesses                                  ,Cheese Sandwich          ,    11,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
