title                                             ,artist                   ,track ,year  ,band           ,discs ,sourceurl                                   ,disc ,album                         ,originalartist   ,comment                                                                      ,tracks ,originallyricist ,discsubtitle                                    ,composer                      ,lyricist                     ,genres
The Spectacle                                     ,Coloratura               ,    16,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
The Vote                                          ,Cutie Mark Crusaders     ,    10,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
We'll Make Our Mark (Prelude)                     ,Cutie Mark Crusaders     ,    09,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
We'll Make Our Mark                               ,Cutie Mark Crusaders     ,    14,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
A Changeling Can Change                           ,Spike                    ,    11,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Kevin Burke                  ,Soundtrack
Can I Do It On My Own                             ,Fluttershy               ,    08,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Derby Racers                                      ,Applejack                ,    10,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Ed Valentine                 ,Soundtrack
Find the Purpose in Your Life                     ,Cutie Mark Crusaders     ,    12,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Ed Valentine                 ,Soundtrack
Hearth's Warming Eve Is Here Once Again (Reprise) ,Starlight Glimmer        ,    07,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Hearth's Warming Eve Is Here Once Again           ,Fluttershy               ,    02,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
It's Gonna Work                                   ,Rarity                   ,    09,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
Luna's Future                                     ,Princess Luna            ,    06,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Out on My Own                                     ,Apple Bloom              ,    01,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Pinkie's Present                                  ,Pinkie Pie               ,    05,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
Say Goodbye to the Holiday                        ,Starlight Glimmer        ,    03,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
The Seeds of the Past                             ,Applejack                ,    04,  2016,My Little Pony ,     9,                                            ,    6,Friendship is Magic           ,                 ,                                                                             ,     12,                 ,Season 6                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
Battle for Sugar Belle                            ,Big McIntosh             ,    02,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 7                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Best Friends Until the End of Time                ,Twilight Sparkle         ,    01,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,Slightly adjusted by ego-lay_atman-bay                                       ,     11,                 ,Season 7                                        ,Daniel Ingram                 ,Joanna Lewis                 ,Soundtrack
Blank Flanks Forever                              ,Rumble                   ,    07,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 7                                        ,Daniel Ingram                 ,May Chan                     ,Soundtrack
Flawless                                          ,Twilight Sparkle         ,    06,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 7                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Ginseng Singing Teabag Ditty                      ,Singing Teabags          ,    03,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 7                                        ,William Anderson              ,William Anderson             ,Soundtrack
You're In My Head Like a Catchy Song (Extended)   ,Pear Butter              ,    05,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,Daniel Ingram    ,Extended version created by ego-lay_atman-bay                                ,     11,Joanna Lewis     ,Season 7                                        ,ego-lay_atman-bay             ,ego-lay_atman-bay            ,Soundtrack
You're In My Head Like a Catchy Song              ,Pear Butter              ,    04,  2017,My Little Pony ,     9,                                            ,    7,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 7                                        ,Daniel Ingram                 ,Joanna Lewis                 ,Soundtrack
A Kirin Tale (Demo)                               ,Autumn Blaze             ,    07,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Jim Miller                   ,Soundtrack
A Kirin Tale (Reprise)                            ,Autumn Blaze             ,    08,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Jim Miller                   ,Soundtrack
A Kirin Tale                                      ,Autumn Blaze             ,    06,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Jim Miller                   ,Soundtrack
Friendship Always Wins                            ,Twilight Sparkle         ,    02,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Friendship U                                      ,Flim Flam Brothers       ,    04,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,"Chris ""Doc"" Wyatt"        ,Soundtrack
Just Can't Be a Dragon Here                       ,Sludge                   ,    09,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
School of Friendship                              ,Twilight Sparkle         ,    01,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
We're Friendship Bound                            ,Starlight Glimmer        ,    05,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Josh Haber                   ,Soundtrack
Your Heart Is in Two Places                       ,Cutie Mark Crusaders     ,    03,  2018,My Little Pony ,     9,                                            ,    8,Friendship is Magic           ,                 ,                                                                             ,     11,                 ,Season 8                                        ,Daniel Ingram                 ,Brian Hohlfeld               ,Soundtrack
Being Big is All It Takes                         ,Cutie Mark Crusaders     ,    11,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Ed Valentine                 ,Soundtrack
Better Way to Be Bad                              ,Cozy Glow                ,    04,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Michael Vogel                ,Soundtrack
Fit Right In (Reprise)                            ,Rarity                   ,    03,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Brian Hohlfeld               ,Soundtrack
Fit Right In                                      ,Rarity                   ,    02,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Brian Hohlfeld               ,Soundtrack
Lotta Little Things (Reprise)                     ,Princess Celestia        ,    06,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Gail Simone                  ,Soundtrack
Lotta Little Things                               ,Princess Celestia        ,    05,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Gail Simone                  ,Soundtrack
The Last Laugh                                    ,Cheese Sandwich          ,    10,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Michael P. Fox               ,Soundtrack
The Magic of Friendship Grows                     ,Twilight Sparkle         ,    12,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
The Place Where We Belong                         ,Silverstream             ,    01,  2019,My Little Pony ,     9,                                            ,    9,Friendship is Magic           ,                 ,                                                                             ,     13,                 ,Season 9/Rainbow Roadtrip                       ,Daniel Ingram                 ,Nicole Dubuc                 ,Soundtrack
